New Experiment - Num episodes: 500
iteration, action, basal, carb, reward
0, 4, 1.0, 25, 86.5
1, 0, 0.7, 20, -89.5
2, 8, 1.0, 25, 86.5
3, 6, 0.7, 30, -89.5
4, 3, 0.39999999999999997, 30, -185.1999969482422
5, 1, 0.39999999999999997, 25, -183.1999969482422
6, 0, 0.09999999999999998, 20, -354.3999938964844
7, 6, 0.3, 25, -225.10000610351562
8, 5, 0.6, 25, -96.0
9, 2, 0.8999999999999999, 20, 144.5
10, 1, 0.8999999999999999, 15, 144.5
11, 2, 1.2, 10, 20.5
12, 4, 1.2, 10, 20.5
13, 6, 0.8999999999999999, 15, 144.5
14, 8, 1.2, 20, 64.5
15, 4, 1.2, 20, 64.5
16, 5, 1.5, 20, 14.5
17, 7, 1.5, 25, 18.5
18, 7, 1.5, 30, -21.5
19, 7, 1.5, 35, 0.5
20, 6, 1.2, 40, 72.5
21, 6, 0.8999999999999999, 45, 17.100000381469727
22, 0, 0.5999999999999999, 40, -105.0
23, 7, 0.5999999999999999, 45, -106.19999694824219
24, 0, 0.2999999999999999, 40, -263.1000061035156
25, 5, 0.5999999999999999, 40, -105.0
26, 8, 0.8999999999999999, 45, 17.100000381469727
27, 4, 0.8999999999999999, 45, 17.100000381469727
28, 6, 0.5999999999999999, 50, -107.0
29, 8, 0.8999999999999999, 50, 11.899999618530273
30, 1, 0.8999999999999999, 45, 17.100000381469727
31, 7, 0.8999999999999999, 50, 11.899999618530273
32, 4, 0.8999999999999999, 50, 11.899999618530273
33, 1, 0.8999999999999999, 45, 17.100000381469727
34, 1, 0.8999999999999999, 40, 24.899999618530273
35, 6, 0.5999999999999999, 45, -106.19999694824219
36, 6, 0.2999999999999999, 50, -275.1000061035156
37, 0, 0.3, 45, -264.1000061035156
38, 0, 0.3, 40, -263.1000061035156
39, 0, 0.3, 35, -260.1000061035156
40, 0, 0.3, 30, -247.10000610351562
41, 8, 0.6, 35, -103.19999694824219
42, 0, 0.3, 30, -247.10000610351562
43, 0, 0.3, 25, -225.10000610351562
44, 0, 0.3, 20, -198.10000610351562
45, 3, 0.3, 20, -198.10000610351562
46, 0, 0.3, 15, -195.3000030517578
47, 2, 0.6, 10, 34.0
48, 2, 0.8999999999999999, 5, 18.5
49, 2, 1.2, 5, -104.0
50, 4, 1.2, 5, -104.0
51, 8, 1.5, 10, -31.5
52, 0, 1.2, 5, -104.0
53, 0, 0.8999999999999999, 5, 18.5
54, 0, 0.5999999999999999, 5, 72.30000305175781
55, 0, 0.2999999999999999, 5, 13.5
56, 0, 0.3, 5, 13.5
57, 1, 0.3, 5, 13.5
58, 6, 0.3, 10, -166.89999389648438
59, 0, 0.3, 5, 13.5
60, 0, 0.3, 5, 13.5
61, 0, 0.3, 5, 13.5
62, 0, 0.3, 5, 13.5
63, 3, 0.3, 5, 13.5
64, 0, 0.3, 5, 13.5
65, 6, 0.3, 10, -166.89999389648438
66, 6, 0.3, 15, -195.3000030517578
67, 0, 0.3, 10, -166.89999389648438
68, 0, 0.3, 5, 13.5
69, 1, 0.3, 5, 13.5
70, 3, 0.3, 5, 13.5
71, 0, 0.3, 5, 13.5
72, 0, 0.3, 5, 13.5
73, 0, 0.3, 5, 13.5
74, 6, 0.3, 10, -166.89999389648438
75, 0, 0.3, 5, 13.5
76, 0, 0.3, 5, 13.5
77, 0, 0.3, 5, 13.5
78, 3, 0.3, 5, 13.5
79, 1, 0.3, 5, 13.5
80, 0, 0.3, 5, 13.5
81, 0, 0.3, 5, 13.5
82, 0, 0.3, 5, 13.5
83, 2, 0.6, 5, 72.30000305175781
84, 3, 0.3, 5, 13.5
85, 0, 0.3, 5, 13.5
86, 8, 0.6, 10, 34.0
87, 0, 0.3, 5, 13.5
88, 5, 0.6, 5, 72.30000305175781
89, 0, 0.3, 5, 13.5
90, 5, 0.6, 5, 72.30000305175781
91, 0, 0.3, 5, 13.5
92, 0, 0.3, 5, 13.5
93, 1, 0.3, 5, 13.5
94, 3, 0.3, 5, 13.5
95, 2, 0.6, 5, 72.30000305175781
96, 6, 0.3, 10, -166.89999389648438
97, 5, 0.6, 10, 34.0
98, 0, 0.3, 5, 13.5
99, 0, 0.3, 5, 13.5
100, 6, 0.3, 10, -166.89999389648438
101, 7, 0.3, 15, -195.3000030517578
102, 1, 0.3, 10, -166.89999389648438
103, 0, 0.3, 5, 13.5
104, 0, 0.3, 5, 13.5
105, 3, 0.3, 5, 13.5
106, 0, 0.3, 5, 13.5
107, 0, 0.3, 5, 13.5
108, 0, 0.3, 5, 13.5
109, 4, 0.3, 5, 13.5
110, 0, 0.3, 5, 13.5
111, 5, 0.6, 5, 72.30000305175781
112, 6, 0.3, 10, -166.89999389648438
113, 0, 0.3, 5, 13.5
114, 8, 0.6, 10, 34.0
115, 7, 0.6, 15, -96.0
116, 0, 0.3, 10, -166.89999389648438
117, 0, 0.3, 5, 13.5
118, 5, 0.6, 5, 72.30000305175781
119, 0, 0.3, 5, 13.5
120, 4, 0.3, 5, 13.5
121, 0, 0.3, 5, 13.5
122, 0, 0.3, 5, 13.5
123, 0, 0.3, 5, 13.5
124, 0, 0.3, 5, 13.5
125, 0, 0.3, 5, 13.5
126, 0, 0.3, 5, 13.5
127, 7, 0.3, 10, -166.89999389648438
128, 0, 0.3, 5, 13.5
129, 4, 0.3, 5, 13.5
130, 7, 0.3, 10, -166.89999389648438
131, 0, 0.3, 5, 13.5
132, 0, 0.3, 5, 13.5
133, 0, 0.3, 5, 13.5
134, 0, 0.3, 5, 13.5
135, 4, 0.3, 5, 13.5
136, 0, 0.3, 5, 13.5
137, 2, 0.6, 5, 72.30000305175781
138, 0, 0.3, 5, 13.5
139, 0, 0.3, 5, 13.5
140, 0, 0.3, 5, 13.5
141, 1, 0.3, 5, 13.5
142, 0, 0.3, 5, 13.5
143, 0, 0.3, 5, 13.5
144, 3, 0.3, 5, 13.5
145, 0, 0.3, 5, 13.5
146, 2, 0.6, 5, 72.30000305175781
147, 0, 0.3, 5, 13.5
148, 7, 0.3, 10, -166.89999389648438
149, 0, 0.3, 5, 13.5
150, 0, 0.3, 5, 13.5
151, 0, 0.3, 5, 13.5
152, 0, 0.3, 5, 13.5
153, 0, 0.3, 5, 13.5
154, 0, 0.3, 5, 13.5
155, 5, 0.6, 5, 72.30000305175781
156, 2, 0.8999999999999999, 5, 18.5
157, 5, 1.2, 5, -104.0
158, 0, 0.8999999999999999, 5, 18.5
159, 7, 0.8999999999999999, 10, 34.5
160, 0, 0.5999999999999999, 5, 72.30000305175781
161, 0, 0.2999999999999999, 5, 13.5
162, 0, 0.3, 5, 13.5
163, 0, 0.3, 5, 13.5
164, 3, 0.3, 5, 13.5
165, 0, 0.3, 5, 13.5
166, 7, 0.3, 10, -166.89999389648438
167, 0, 0.3, 5, 13.5
168, 0, 0.3, 5, 13.5
169, 0, 0.3, 5, 13.5
170, 0, 0.3, 5, 13.5
171, 0, 0.3, 5, 13.5
172, 6, 0.3, 10, -166.89999389648438
173, 3, 0.3, 10, -166.89999389648438
174, 4, 0.3, 10, -166.89999389648438
175, 2, 0.6, 5, 72.30000305175781
176, 0, 0.3, 5, 13.5
177, 6, 0.3, 10, -166.89999389648438
178, 1, 0.3, 5, 13.5
179, 2, 0.6, 5, 72.30000305175781
180, 0, 0.3, 5, 13.5
181, 0, 0.3, 5, 13.5
182, 5, 0.6, 5, 72.30000305175781
183, 5, 0.8999999999999999, 5, 18.5
184, 0, 0.5999999999999999, 5, 72.30000305175781
185, 3, 0.2999999999999999, 5, 13.5
186, 0, 0.3, 5, 13.5
187, 0, 0.3, 5, 13.5
188, 0, 0.3, 5, 13.5
189, 2, 0.6, 5, 72.30000305175781
190, 6, 0.3, 10, -166.89999389648438
191, 0, 0.3, 5, 13.5
192, 0, 0.3, 5, 13.5
193, 0, 0.3, 5, 13.5
194, 6, 0.3, 10, -166.89999389648438
195, 1, 0.3, 5, 13.5
196, 0, 0.3, 5, 13.5
197, 3, 0.3, 5, 13.5
198, 0, 0.3, 5, 13.5
199, 7, 0.3, 10, -166.89999389648438
200, 0, 0.3, 5, 13.5
201, 0, 0.3, 5, 13.5
202, 2, 0.6, 5, 72.30000305175781
203, 0, 0.3, 5, 13.5
204, 1, 0.3, 5, 13.5
205, 0, 0.3, 5, 13.5
206, 0, 0.3, 5, 13.5
207, 0, 0.3, 5, 13.5
208, 0, 0.3, 5, 13.5
209, 0, 0.3, 5, 13.5
210, 1, 0.3, 5, 13.5
211, 0, 0.3, 5, 13.5
212, 0, 0.3, 5, 13.5
213, 0, 0.3, 5, 13.5
214, 2, 0.6, 5, 72.30000305175781
215, 0, 0.3, 5, 13.5
216, 0, 0.3, 5, 13.5
217, 0, 0.3, 5, 13.5
218, 3, 0.3, 5, 13.5
219, 0, 0.3, 5, 13.5
220, 7, 0.3, 10, -166.89999389648438
221, 0, 0.3, 5, 13.5
222, 1, 0.3, 5, 13.5
223, 4, 0.3, 5, 13.5
224, 0, 0.3, 5, 13.5
225, 7, 0.3, 10, -166.89999389648438
226, 0, 0.3, 5, 13.5
227, 3, 0.3, 5, 13.5
228, 0, 0.3, 5, 13.5
229, 2, 0.6, 5, 72.30000305175781
230, 2, 0.8999999999999999, 5, 18.5
231, 0, 0.5999999999999999, 5, 72.30000305175781
232, 0, 0.2999999999999999, 5, 13.5
233, 1, 0.2999999999999999, 5, 13.5
234, 0, 0.3, 5, 13.5
235, 0, 0.3, 5, 13.5
236, 0, 0.3, 5, 13.5
237, 0, 0.3, 5, 13.5
238, 0, 0.3, 5, 13.5
239, 7, 0.3, 10, -166.89999389648438
240, 0, 0.3, 5, 13.5
241, 0, 0.3, 5, 13.5
242, 0, 0.3, 5, 13.5
243, 0, 0.3, 5, 13.5
244, 0, 0.3, 5, 13.5
245, 4, 0.3, 5, 13.5
246, 1, 0.3, 5, 13.5
247, 0, 0.3, 5, 13.5
248, 4, 0.3, 5, 13.5
249, 0, 0.3, 5, 13.5
250, 0, 0.3, 5, 13.5
251, 0, 0.3, 5, 13.5
252, 0, 0.3, 5, 13.5
253, 0, 0.3, 5, 13.5
254, 0, 0.3, 5, 13.5
255, 0, 0.3, 5, 13.5
256, 0, 0.3, 5, 13.5
257, 1, 0.3, 5, 13.5
258, 0, 0.3, 5, 13.5
259, 0, 0.3, 5, 13.5
260, 7, 0.3, 10, -166.89999389648438
261, 0, 0.3, 5, 13.5
262, 0, 0.3, 5, 13.5
263, 0, 0.3, 5, 13.5
264, 0, 0.3, 5, 13.5
265, 0, 0.3, 5, 13.5
266, 0, 0.3, 5, 13.5
267, 3, 0.3, 5, 13.5
268, 0, 0.3, 5, 13.5
269, 0, 0.3, 5, 13.5
270, 2, 0.6, 5, 72.30000305175781
271, 0, 0.3, 5, 13.5
272, 0, 0.3, 5, 13.5
273, 0, 0.3, 5, 13.5
274, 0, 0.3, 5, 13.5
275, 0, 0.3, 5, 13.5
276, 8, 0.6, 10, 34.0
277, 0, 0.3, 5, 13.5
278, 7, 0.3, 10, -166.89999389648438
279, 0, 0.3, 5, 13.5
280, 6, 0.3, 10, -166.89999389648438
281, 0, 0.3, 5, 13.5
282, 0, 0.3, 5, 13.5
