New Experiment - Num episodes: 500
iteration, action, basal, carb, reward
0, 8, 1.3, 30, 48.5
1, 7, 1.3, 35, 54.5
2, 5, 1.6, 35, -5.5
3, 4, 1.6, 35, -5.5
4, 8, 1.9000000000000001, 40, -91.5
5, 5, 2.2, 40, -179.5
6, 1, 2.2, 35, -181.5
7, 1, 2.2, 30, -189.5
8, 5, 2.5, 30, -304.5
9, 2, 2.8, 25, -294.0
10, 0, 2.5, 20, -339.0
11, 5, 2.8, 20, -295.5
12, 7, 2.8, 25, -294.0
13, 7, 2.8, 30, -288.0
14, 7, 2.8, 35, -269.0
15, 6, 2.5, 40, -291.5
16, 6, 2.2, 45, -167.5
17, 8, 2.5, 50, -285.0
18, 8, 2.8, 50, -244.0
19, 5, 3.0999999999999996, 50, -367.5
20, 7, 3.0999999999999996, 50, -367.5
21, 0, 2.8, 45, -250.0
22, 8, 3.0999999999999996, 50, -367.5
23, 4, 3.0999999999999996, 50, -367.5
24, 1, 3.0999999999999996, 45, -371.5
25, 7, 3.0999999999999996, 50, -367.5
26, 1, 3.0999999999999996, 45, -371.5
27, 4, 3.0999999999999996, 45, -371.5
28, 1, 3.0999999999999996, 40, -379.0
29, 2, 3.3999999999999995, 35, -375.0
30, 3, 3.0999999999999996, 35, -338.5
31, 5, 3.3999999999999995, 35, -375.0
32, 4, 3.3999999999999995, 35, -375.0
33, 0, 3.0999999999999996, 30, -351.0
34, 1, 3.0999999999999996, 25, -370.5
35, 4, 3.0999999999999996, 25, -370.5
36, 8, 3.3999999999999995, 30, -376.5
37, 3, 3.0999999999999996, 30, -351.0
38, 2, 3.3999999999999995, 25, -393.0
39, 2, 3.6999999999999993, 20, -419.5
40, 8, 3.999999999999999, 25, -429.0
41, 3, 3.6999999999999993, 25, -415.5
42, 8, 3.999999999999999, 30, -426.0
43, 3, 3.6999999999999993, 30, -425.5
44, 3, 3.3999999999999995, 30, -376.5
45, 8, 3.6999999999999993, 35, -420.0
46, 7, 3.6999999999999993, 40, -416.5
47, 3, 3.3999999999999995, 40, -404.0
48, 3, 3.0999999999999996, 40, -379.0
49, 1, 3.0999999999999996, 35, -338.5
50, 4, 3.0999999999999996, 35, -338.5
51, 5, 3.3999999999999995, 35, -375.0
52, 5, 3.6999999999999993, 35, -420.0
53, 5, 3.999999999999999, 35, -422.5
54, 7, 3.999999999999999, 40, -420.5
55, 0, 3.6999999999999993, 35, -420.0
56, 1, 3.6999999999999993, 30, -425.5
57, 7, 3.6999999999999993, 35, -420.0
58, 3, 3.3999999999999995, 35, -375.0
59, 8, 3.6999999999999993, 40, -416.5
60, 8, 3.999999999999999, 45, -418.5
61, 1, 3.999999999999999, 40, -420.5
62, 2, 4.299999999999999, 35, -460.5
63, 1, 4.299999999999999, 30, -463.5
64, 6, 3.999999999999999, 35, -422.5
65, 3, 3.6999999999999993, 35, -420.0
66, 7, 3.6999999999999993, 40, -416.5
67, 3, 3.3999999999999995, 40, -404.0
68, 6, 3.0999999999999996, 45, -371.5
69, 1, 3.0999999999999996, 40, -379.0
70, 8, 3.3999999999999995, 45, -411.5
71, 5, 3.6999999999999993, 45, -412.5
72, 3, 3.3999999999999995, 45, -411.5
73, 4, 3.3999999999999995, 45, -411.5
74, 8, 3.6999999999999993, 50, -406.5
75, 2, 3.999999999999999, 45, -418.5
76, 8, 4.299999999999999, 50, -455.0
77, 6, 3.999999999999999, 50, -417.0
78, 1, 3.999999999999999, 45, -418.5
79, 4, 3.999999999999999, 45, -418.5
80, 5, 4.299999999999999, 45, -456.5
81, 1, 4.299999999999999, 40, -457.0
82, 1, 4.299999999999999, 35, -460.5
83, 2, 4.599999999999999, 30, -507.0
84, 4, 4.599999999999999, 30, -507.0
85, 4, 4.599999999999999, 30, -507.0
86, 4, 4.599999999999999, 30, -507.0
87, 1, 4.599999999999999, 25, -510.5
88, 7, 4.599999999999999, 30, -507.0
89, 4, 4.599999999999999, 30, -507.0
90, 7, 4.599999999999999, 35, -503.0
91, 0, 4.299999999999999, 30, -463.5
92, 8, 4.599999999999999, 35, -503.0
93, 7, 4.599999999999999, 40, -501.5
94, 5, 4.899999999999999, 40, -526.0
95, 0, 4.599999999999999, 35, -503.0
96, 4, 4.599999999999999, 35, -503.0
97, 6, 4.299999999999999, 40, -457.0
98, 2, 4.599999999999999, 35, -503.0
99, 4, 4.599999999999999, 35, -503.0
100, 2, 4.899999999999999, 30, -527.0
101, 5, 5, 30, -529.5
102, 0, 4.7, 25, -518.5
103, 0, 4.4, 20, -490.5
104, 8, 4.7, 25, -518.5
105, 1, 4.7, 20, -519.5
106, 4, 4.7, 20, -519.5
107, 2, 5, 15, -529.5
108, 2, 5, 10, -529.5
109, 1, 5, 5, -529.5
110, 1, 5, 5, -529.5
111, 2, 5, 5, -529.5
112, 2, 5, 5, -529.5
113, 4, 5, 5, -529.5
114, 2, 5, 5, -529.5
115, 4, 5, 5, -529.5
116, 6, 4.7, 10, -525.0
117, 7, 4.7, 15, -521.5
118, 8, 5, 20, -529.5
119, 5, 5, 20, -529.5
120, 5, 5, 20, -529.5
