New Experiment - Num episodes: 150
iteration, action, basal, carb, reward
0, 5, 1.3, 25, 26.5
1, 4, 1.3, 25, 26.5
2, 7, 1.3, 30, 48.5
3, 2, 1.6, 25, -9.5
4, 6, 1.3, 30, 48.5
5, 0, 1.0, 25, 86.5
6, 3, 0.7, 25, -89.5
7, 4, 0.7, 25, -89.5
8, 3, 0.39999999999999997, 25, -183.1999969482422
9, 1, 0.39999999999999997, 20, -171.0
10, 0, 0.09999999999999998, 15, -269.3999938964844
11, 6, 0.3, 20, -198.10000610351562
12, 5, 0.6, 20, -96.0
13, 5, 0.8999999999999999, 20, 144.5
14, 0, 0.5999999999999999, 15, -96.0
15, 4, 0.5999999999999999, 15, -96.0
16, 0, 0.2999999999999999, 10, -166.89999389648438
17, 3, 0.3, 10, -166.89999389648438
18, 2, 0.6, 5, 72.30000305175781
19, 0, 0.3, 5, 13.5
20, 4, 0.3, 5, 13.5
21, 6, 0.3, 10, -166.89999389648438
22, 0, 0.3, 5, 13.5
23, 0, 0.3, 5, 13.5
24, 4, 0.3, 5, 13.5
25, 5, 0.6, 5, 72.30000305175781
26, 4, 0.6, 5, 72.30000305175781
27, 0, 0.3, 5, 13.5
28, 2, 0.6, 5, 72.30000305175781
29, 1, 0.6, 5, 72.30000305175781
30, 0, 0.3, 5, 13.5
31, 0, 0.3, 5, 13.5
32, 5, 0.6, 5, 72.30000305175781
33, 6, 0.3, 10, -166.89999389648438
34, 5, 0.6, 10, 34.0
35, 2, 0.8999999999999999, 5, 18.5
36, 0, 0.5999999999999999, 5, 72.30000305175781
37, 0, 0.2999999999999999, 5, 13.5
38, 8, 0.5999999999999999, 10, 34.0
39, 7, 0.5999999999999999, 15, -96.0
40, 0, 0.2999999999999999, 10, -166.89999389648438
41, 5, 0.5999999999999999, 10, 34.0
42, 3, 0.2999999999999999, 10, -166.89999389648438
43, 5, 0.5999999999999999, 10, 34.0
44, 3, 0.2999999999999999, 10, -166.89999389648438
45, 5, 0.5999999999999999, 10, 34.0
46, 5, 0.8999999999999999, 10, 34.5
47, 0, 0.5999999999999999, 5, 72.30000305175781
48, 0, 0.2999999999999999, 5, 13.5
49, 8, 0.5999999999999999, 10, 34.0
50, 7, 0.5999999999999999, 15, -96.0
51, 1, 0.5999999999999999, 10, 34.0
52, 0, 0.2999999999999999, 5, 13.5
53, 5, 0.5999999999999999, 5, 72.30000305175781
54, 8, 0.8999999999999999, 10, 34.5
55, 8, 1.2, 15, 38.5
56, 0, 0.8999999999999999, 10, 34.5
57, 4, 0.8999999999999999, 10, 34.5
58, 8, 1.2, 15, 38.5
59, 7, 1.2, 20, 64.5
60, 3, 0.8999999999999999, 20, 144.5
61, 1, 0.8999999999999999, 15, 144.5
62, 5, 1.2, 15, 38.5
63, 3, 0.8999999999999999, 15, 144.5
64, 4, 0.8999999999999999, 15, 144.5
65, 6, 0.5999999999999999, 20, -96.0
66, 0, 0.2999999999999999, 15, -195.3000030517578
67, 2, 0.5999999999999999, 10, 34.0
68, 7, 0.5999999999999999, 15, -96.0
69, 0, 0.2999999999999999, 10, -166.89999389648438
70, 7, 0.2999999999999999, 15, -195.3000030517578
71, 1, 0.2999999999999999, 10, -166.89999389648438
72, 8, 0.5999999999999999, 15, -96.0
73, 5, 0.8999999999999999, 15, 144.5
74, 0, 0.5999999999999999, 10, 34.0
75, 8, 0.8999999999999999, 15, 144.5
76, 4, 0.8999999999999999, 15, 144.5
77, 5, 1.2, 15, 38.5
78, 8, 1.5, 20, 14.5
79, 0, 1.2, 15, 38.5
80, 8, 1.5, 20, 14.5
81, 1, 1.5, 15, 0.5
82, 8, 1.8, 20, -55.5
83, 8, 2.1, 25, -179.5
84, 4, 2.1, 25, -179.5
85, 4, 2.1, 25, -179.5
86, 8, 2.4, 30, -302.0
87, 8, 2.6999999999999997, 35, -285.5
88, 4, 2.6999999999999997, 35, -285.5
89, 1, 2.6999999999999997, 30, -268.5
90, 8, 2.9999999999999996, 35, -361.0
91, 8, 3.2999999999999994, 40, -380.0
92, 3, 2.9999999999999996, 40, -352.0
93, 8, 3.2999999999999994, 45, -366.5
94, 8, 3.599999999999999, 50, -390.5
95, 8, 3.899999999999999, 50, -396.5
96, 7, 3.899999999999999, 50, -396.5
97, 3, 3.599999999999999, 50, -390.5
98, 8, 3.899999999999999, 50, -396.5
99, 8, 4.199999999999999, 50, -433.0
100, 3, 3.8999999999999995, 50, -396.5
101, 7, 3.8999999999999995, 50, -396.5
102, 8, 4.199999999999999, 50, -433.0
103, 2, 4.499999999999999, 45, -487.0
104, 2, 4.799999999999999, 40, -522.0
105, 7, 4.799999999999999, 45, -521.0
106, 3, 4.499999999999999, 45, -487.0
107, 8, 4.799999999999999, 50, -520.5
108, 8, 5, 50, -529.0
109, 7, 5, 50, -529.0
110, 7, 5, 50, -529.0
111, 5, 5, 50, -529.0
112, 4, 5, 50, -529.0
113, 6, 4.7, 50, -511.0
114, 7, 4.7, 50, -511.0
115, 8, 5, 50, -529.0
116, 7, 5, 50, -529.0
117, 6, 4.7, 50, -511.0
118, 7, 4.7, 50, -511.0
119, 7, 4.7, 50, -511.0
120, 7, 4.7, 50, -511.0
121, 5, 5, 50, -529.0
122, 5, 5, 50, -529.0
123, 7, 5, 50, -529.0
124, 1, 5, 45, -529.5
125, 7, 5, 50, -529.0
126, 7, 5, 50, -529.0
127, 7, 5, 50, -529.0
128, 0, 4.7, 45, -512.5
129, 2, 5, 40, -529.5
130, 7, 5, 45, -529.5
131, 4, 5, 45, -529.5
132, 3, 4.7, 45, -512.5
133, 3, 4.4, 45, -473.5
134, 7, 4.4, 50, -473.0
135, 7, 4.4, 50, -473.0
136, 2, 4.7, 45, -512.5
137, 2, 5, 40, -529.5
138, 7, 5, 45, -529.5
139, 2, 5, 40, -529.5
140, 5, 5, 40, -529.5
141, 3, 4.7, 40, -514.0
142, 2, 5, 35, -529.5
143, 2, 5, 30, -529.5
144, 3, 4.7, 30, -515.0
145, 3, 4.4, 30, -478.0
146, 5, 4.7, 30, -515.0
147, 7, 4.7, 35, -514.0
148, 8, 5, 40, -529.5
149, 3, 4.7, 40, -514.0
New Experiment - Num episodes: 150
iteration, action, basal, carb, reward
0, 7, 1.0, 30, 86.5
New Experiment - Num episodes: 150
iteration, action, basal, carb, reward
0, 5, 1.3, 25, 26.5
New Experiment - Num episodes: 150
iteration, action, basal, carb, reward
0, 6, 0.7, 30, -89.5
1, 0, 0.39999999999999997, 25, -183.1999969482422
New Experiment - Num episodes: 150
iteration, action, basal, carb, reward
0, 3, 0.7, 25, -89.5
1, 8, 1.0, 30, 86.5
2, 7, 1.0, 35, 70.9000015258789
3, 6, 0.7, 40, -89.5
4, 2, 1.0, 35, 70.9000015258789
5, 7, 1.0, 40, 56.599998474121094
6, 7, 1.0, 45, 38.400001525878906
7, 4, 1.0, 45, 38.400001525878906
8, 3, 0.7, 45, -89.5
9, 4, 0.7, 45, -89.5
10, 2, 1.0, 40, 56.599998474121094
11, 2, 1.3, 35, 54.5
12, 2, 1.6, 30, -17.5
13, 0, 1.3, 25, 26.5
14, 6, 1.0, 30, 86.5
15, 2, 1.3, 25, 26.5
16, 7, 1.3, 30, 48.5
17, 6, 1.0, 35, 70.9000015258789
18, 1, 1.0, 30, 86.5
19, 3, 0.7, 30, -89.5
20, 3, 0.39999999999999997, 30, -185.1999969482422
21, 6, 0.09999999999999998, 35, -387.3999938964844
22, 1, 0.09999999999999998, 30, -386.3999938964844
23, 5, 0.39999999999999997, 30, -185.1999969482422
24, 1, 0.39999999999999997, 25, -183.1999969482422
25, 0, 0.09999999999999998, 20, -354.3999938964844
26, 3, 0.3, 20, -198.10000610351562
27, 0, 0.3, 15, -195.3000030517578
28, 3, 0.3, 15, -195.3000030517578
29, 8, 0.6, 20, -96.0
30, 3, 0.3, 20, -198.10000610351562
31, 0, 0.3, 15, -195.3000030517578
32, 6, 0.3, 20, -198.10000610351562
33, 0, 0.3, 15, -195.3000030517578
34, 4, 0.3, 15, -195.3000030517578
35, 3, 0.3, 15, -195.3000030517578
36, 0, 0.3, 10, -166.89999389648438
37, 8, 0.6, 15, -96.0
38, 5, 0.8999999999999999, 15, 144.5
39, 0, 0.5999999999999999, 10, 34.0
40, 2, 0.8999999999999999, 5, 18.5
41, 5, 1.2, 5, -104.0
42, 0, 0.8999999999999999, 5, 18.5
43, 0, 0.5999999999999999, 5, 72.30000305175781
44, 5, 0.8999999999999999, 5, 18.5
45, 5, 1.2, 5, -104.0
46, 0, 0.8999999999999999, 5, 18.5
47, 0, 0.5999999999999999, 5, 72.30000305175781
48, 0, 0.2999999999999999, 5, 13.5
49, 0, 0.3, 5, 13.5
50, 5, 0.6, 5, 72.30000305175781
51, 0, 0.3, 5, 13.5
52, 1, 0.3, 5, 13.5
53, 8, 0.6, 10, 34.0
54, 6, 0.3, 15, -195.3000030517578
55, 0, 0.3, 10, -166.89999389648438
56, 7, 0.3, 15, -195.3000030517578
57, 8, 0.6, 20, -96.0
58, 5, 0.8999999999999999, 20, 144.5
